recordkey,stt_cont,call_l_class_cd,call_m_class_cd,call_start_time,call_end_time,predict
181201107551188732,,4,409,2018-12-01 18:51:03,2018-12-01 18:52:13,2
181201107831191666,,2,209,2018-12-01 18:51:38,2018-12-01 18:52:38,2
181201107891187309,,5,508,2018-12-01 18:51:45,2018-12-01 18:54:30,2
181201108431189312,,7,702,2018-12-01 10:36:19,2018-12-01 10:37:51,2
181201108531188636,,2,209,2018-12-01 18:53:29,2018-12-01 18:53:58,2
181201108551116756,,6,604,2018-12-01 18:53:34,2018-12-01 19:00:18,2
181201108891105666,,6,609,2018-12-01 18:57:06,2018-12-01 19:01:58,2
181201109301133560,,4,401,2018-12-01 14:34:53,2018-12-01 14:39:22,2
181201110081189935,,3,301,2018-12-01 10:38:35,2018-12-01 10:40:34,2
181201110251188309,,5,501,2018-12-01 18:57:30,2018-12-01 18:59:37,2
181201110331110923,,6,602,2018-12-01 10:39:57,2018-12-01 10:43:10,2
181201110351192547,,7,702,2018-12-01 10:40:04,2018-12-01 10:40:35,2
181201111151133229,,5,508,2018-12-01 14:42:38,2018-12-01 14:43:37,2
181201111211187395,,2,209,2018-12-01 18:59:52,2018-12-01 19:00:23,2
181201111471191626,,5,507,2018-12-01 19:00:37,2018-12-01 19:02:54,2
181201111621143408,,6,602,2018-12-01 10:40:49,2018-12-01 10:43:35,2
181201111671138474,,4,405,2018-12-01 10:41:12,2018-12-01 10:45:20,2
181201111961197251,,2,209,2018-12-01 14:39:03,2018-12-01 14:39:41,2
18120111201125312,,6,602,2018-12-01 16:04:22,2018-12-01 16:06:55,2
181201112321187329,,2,209,2018-12-01 19:02:48,2018-12-01 19:03:43,2
181201112731192234,,6,603,2018-12-01 14:40:23,2018-12-01 14:41:08,2
181201113151191620,,7,701,2018-12-01 14:41:07,2018-12-01 14:41:52,2
181201113431138993,,6,602,2018-12-01 10:47:16,2018-12-01 10:48:44,2
181201113911116412,,7,710,2018-12-01 19:07:40,2018-12-01 19:09:13,2
181201114031187769,,6,602,2018-12-01 14:42:33,2018-12-01 14:44:48,2
181201114051188920,,7,704,2018-12-01 14:42:34,2018-12-01 14:43:19,2
181201114201143801,,4,409,2018-12-01 10:49:31,2018-12-01 10:52:35,2
181201114341191910,,6,603,2018-12-01 19:09:08,2018-12-01 19:09:51,2
18120111441143244,,5,508,2018-12-01 16:04:39,2018-12-01 16:06:58,2
181201114481188294,,7,701,2018-12-01 19:09:31,2018-12-01 19:10:56,2
181201114551138307,,2,211,2018-12-01 10:50:52,2018-12-01 10:54:26,2
181201114891197301,,2,209,2018-12-01 14:43:53,2018-12-01 14:44:37,2
181201115171192861,,2,211,2018-12-01 14:44:22,2018-12-01 14:45:22,2
181201115761143998,,4,401,2018-12-01 10:54:53,2018-12-01 10:56:13,2
181201116131100762,,5,508,2018-12-01 19:13:42,2018-12-01 19:32:15,2
181201116181188528,,2,209,2018-12-01 14:45:44,2018-12-01 14:46:10,2
181201116841116330,,5,508,2018-12-01 19:15:56,2018-12-01 19:19:10,2
18120111711192504,,7,704,2018-12-01 11:57:51,2018-12-01 11:58:38,2
181201117391189411,,2,209,2018-12-01 10:49:02,2018-12-01 10:49:54,2
181201117521188928,,8,809,2018-12-01 19:17:43,2018-12-01 19:17:49,2
181201117641197391,,2,209,2018-12-01 14:47:53,2018-12-01 14:49:22,2
181201117831125769,,5,508,2018-12-01 14:51:37,2018-12-01 14:52:58,2
181201118171192986,,2,209,2018-12-01 14:48:57,2018-12-01 14:50:18,2
181201119221110884,,5,515,2018-12-01 10:56:45,2018-12-01 11:00:12,2
181201120351188296,,2,209,2018-12-01 14:52:39,2018-12-01 14:52:58,2
181201120391197271,,7,702,2018-12-01 14:52:44,2018-12-01 14:54:23,2
181201120451189224,,7,704,2018-12-01 10:53:51,2018-12-01 10:54:23,2
181201120621105595,,4,401,2018-12-01 19:24:31,2018-12-01 19:28:59,2
181201121041192724,,5,501,2018-12-01 14:53:43,2018-12-01 14:58:01,2
181201121741189265,,6,602,2018-12-01 10:56:01,2018-12-01 10:58:48,2
181201121911197472,,3,301,2018-12-01 10:56:28,2018-12-01 10:57:06,2
181201122891110510,,5,508,2018-12-01 11:02:22,2018-12-01 11:08:55,2
181201122991105281,,5,515,2018-12-01 19:34:35,2018-12-01 19:43:48,2
18120112381138449,,6,613,2018-12-01 12:03:51,2018-12-01 12:05:14,2
181201124161100252,,13,1301,2018-12-01 19:35:01,2018-12-01 19:41:24,2
181201125121192222,,7,704,2018-12-01 11:00:31,2018-12-01 11:01:28,2
181201125201110200,,6,601,2018-12-01 15:00:11,2018-12-01 15:09:35,2
181201126351197276,,2,209,2018-12-01 11:02:11,2018-12-01 11:02:44,2
181201126411187388,,5,501,2018-12-01 11:02:14,2018-12-01 11:05:42,2
181201126421191459,,5,501,2018-12-01 15:02:07,2018-12-01 15:02:54,2
181201126631187383,,2,209,2018-12-01 15:02:20,2018-12-01 15:03:21,2
181201126711188316,,7,704,2018-12-01 11:02:47,2018-12-01 11:03:54,2
181201127131125200,,3,304,2018-12-01 15:03:21,2018-12-01 15:04:08,2
181201127241190766,,2,209,2018-12-01 15:03:24,2018-12-01 15:04:19,2
181201127941191873,,2,209,2018-12-01 15:04:28,2018-12-01 15:05:20,2
181201128111188333,,2,209,2018-12-01 19:44:10,2018-12-01 19:44:54,2
181201128191187950,,2,209,2018-12-01 19:44:25,2018-12-01 19:44:52,2
181201128331191486,,6,603,2018-12-01 19:44:50,2018-12-01 19:45:28,2
181201128361190205,,7,704,2018-12-01 11:05:14,2018-12-01 11:06:00,2
181201128621188278,,7,704,2018-12-01 15:05:46,2018-12-01 15:06:52,2
181201128801110686,,7,701,2018-12-01 11:11:15,2018-12-01 11:13:19,2
18120112901138350,,6,602,2018-12-01 12:05:55,2018-12-01 12:12:06,2
181201129021105291,,6,602,2018-12-01 19:48:24,2018-12-01 19:50:06,2
181201129301105911,,6,602,2018-12-01 19:51:38,2018-12-01 19:53:33,2
181201129991143372,,2,203,2018-12-01 15:07:59,2018-12-01 15:12:22,2
181201130071187517,,7,704,2018-12-01 15:08:05,2018-12-01 15:10:12,2
18120113051190331,,7,702,2018-12-01 16:07:11,2018-12-01 16:09:18,2
181201130891189920,,5,501,2018-12-01 11:08:25,2018-12-01 11:13:36,2
